,static,equal,shrunk,regime,minvar
2014-10-20,0.0054972588110140325,0.007576260486910332,0.01077774337129722,0.01077774337129722,0.01080823119695733
2014-10-21,0.022031644127902997,0.014638883812218348,0.00786488294508097,0.00786488294508097,0.007885293069406312
2014-10-22,-0.03001227645676411,-0.007805643582310583,-0.0007996672049589435,-0.0007996672049589435,-0.0007725486188481267
2014-10-23,0.010599571522252806,0.011618735350176405,0.006369531390039843,0.006369531390039843,0.006349035488121808
2014-10-24,0.006379753767089502,0.002904933629352932,0.008531126884438842,0.008531126884438842,0.008532562343394057
2014-10-27,-0.0061043751692144085,-0.0021258583547268334,-9.471289518924617e-05,-9.471289518924617e-05,-9.323847495623574e-05
2014-10-28,0.011965322063217643,0.012164687937922592,0.008855473188974042,0.008855473188974042,0.00885634403165983
2014-10-29,0.0008384477127579548,0.001468656691407814,0.0013419270312601795,0.0013419270312601795,0.0013288950075234156
2014-10-30,0.004635051134835959,0.0047887761800585885,0.006430557265495732,0.006430557265495732,0.0064380702310842764
2014-10-31,0.010393044380048172,0.01263592329534081,0.009758110771697331,0.009758110771697331,0.00975151928928778
2014-11-03,0.00117451587699117,-0.0021162685990821105,-0.0025205147815231007,-0.0025205147815231007,-0.0025106207736425704
2014-11-04,-0.0016390349709373192,-0.00295506616900514,0.002612088086557528,0.002612088086557528,0.0026225123621197257
2014-11-05,0.0007640125598829062,0.003443259008747815,0.0039608110519337835,0.0039608110519337835,0.003943579912937147
2014-11-06,0.006940236234708602,0.005266441104746445,0.003772528977066799,0.003772528977066799,0.0037732308259126927
2014-11-07,0.004243373080591009,0.0011580657124122277,-0.000390520552989884,-0.000390520552989884,-0.00038167132494304874
2014-11-10,0.0036528998314094953,0.003845220758444948,0.002548302770180289,0.002548302770180289,0.002551718569152474
2014-11-11,0.0011036444001369583,0.002905812414757336,0.0018390780416434915,0.0018390780416434915,0.001826470029098686
2014-11-12,0.004038995863006028,-0.0011213589428809127,0.0006934279047213295,0.0006934279047213295,0.0006895822346106433
